time, Quad.Est.E.Yaw, Quad.Est.E.Pitch, Quad.Est.E.Roll
2.430006,0.001311,-0.001190,0.000339
2.435006,0.001390,-0.001394,0.000530
2.440006,0.001436,-0.001519,0.000646
2.445005,0.001493,-0.001690,0.000785
2.450005,0.001522,-0.001784,0.000863
2.455004,0.001555,-0.001904,0.000942
2.460004,0.001570,-0.001975,0.000995
2.465004,0.001594,-0.002096,0.001046
2.470003,0.001604,-0.002162,0.001073
2.475003,0.001605,-0.002215,0.001123
2.480003,0.001605,-0.002254,0.001142
2.485002,0.001605,-0.002317,0.001144
2.490002,0.001604,-0.002364,0.001143
2.495002,0.001591,-0.002395,0.001168
2.500001,0.001581,-0.002408,0.001207
2.505001,0.001561,-0.002408,0.001258
2.510000,0.001547,-0.002404,0.001276
2.515000,0.001526,-0.002392,0.001248
2.520000,0.001514,-0.002388,0.001214
2.524999,0.001497,-0.002385,0.001132
2.529999,0.001488,-0.002389,0.001075
2.534999,0.001474,-0.002387,0.001013
2.539998,0.001463,-0.002369,0.000965
2.544998,0.001444,-0.002317,0.000883
2.549998,0.001432,-0.002280,0.000836
2.554997,0.001419,-0.002255,0.000805
2.559997,0.001408,-0.002214,0.000781
2.564996,0.001393,-0.002135,0.000750
2.569996,0.001382,-0.002067,0.000742
2.574996,0.001366,-0.001945,0.000731
2.579995,0.001357,-0.001880,0.000700
2.584995,0.001346,-0.001813,0.000627
2.589995,0.001342,-0.001793,0.000597
2.594994,0.001334,-0.001745,0.000557
2.599994,0.001328,-0.001703,0.000523
2.604994,0.001321,-0.001637,0.000469
2.609993,0.001318,-0.001601,0.000430
2.614993,0.001313,-0.001543,0.000356
2.619992,0.001308,-0.001489,0.000314
2.624992,0.001302,-0.001404,0.000266
2.629992,0.001297,-0.001345,0.000237
2.634991,0.001290,-0.001229,0.000216
2.639991,0.001287,-0.001143,0.000190
2.644991,0.001284,-0.001021,0.000148
2.649990,0.001284,-0.000944,0.000106
2.654990,0.001285,-0.000851,0.000029
2.659990,0.001287,-0.000797,-0.000042
2.664989,0.001289,-0.000715,-0.000154
2.669989,0.001290,-0.000655,-0.000248
2.674989,0.001292,-0.000560,-0.000378
2.679988,0.001295,-0.000507,-0.000438
2.684988,0.001300,-0.000436,-0.000535
2.689987,0.001304,-0.000395,-0.000582
2.694987,0.001310,-0.000352,-0.000633
2.699987,0.001314,-0.000324,-0.000647
2.704986,0.001319,-0.000287,-0.000652
2.709986,0.001326,-0.000267,-0.000652
2.714986,0.001346,-0.000237,-0.000654
2.719985,0.001370,-0.000195,-0.000664
